familia,modelo,escenario,H,MAE,RMSE,MAPE,R2,t_inferencia_s,contexto,covariables
Chronos-2,chronos2,E6_ft_multi_futuras,48,4.2299204282407405,5.260647021281517,19.12984107221316,0.2165164869103925,0.0183698611654108,512,proceso pasadas + meteo futuras (LoRA 500 pasos)
TTM,ttm,E1_zs,6,3.6760300098651295,4.6150626474635565,17.840315427594216,0.3085708365325564,0.0003049086199435,512,ninguna
TTM,ttm,E1_zs,12,3.91461203372037,4.991513541252084,18.135971039536745,0.3481953399315435,0.0003049086199435,512,ninguna
TTM,ttm,E1_zs,24,4.001288246799398,4.951263339796124,18.138023332597385,0.2759029683982646,0.0003049086199435,512,ninguna
TTM,ttm,E1_zs,48,4.423661511805323,5.37754315225953,19.861867834785336,0.1813102648544489,0.0003049086199435,512,ninguna
TTM,ttm,E2_ft_univariante_5pct,6,3.5751431028174343,4.572685671944059,17.475602074291107,0.3212103844162634,9.592825921976732e-05,512,"ninguna (few-shot 5%, 18 épocas)"
TTM,ttm,E2_ft_univariante_5pct,12,3.79913105752733,4.924007070828038,17.601748940783494,0.3657064580308732,9.592825921976732e-05,512,"ninguna (few-shot 5%, 18 épocas)"
TTM,ttm,E2_ft_univariante_5pct,24,3.869106165656337,4.857625066527644,17.546893803717726,0.3030322258100759,9.592825921976732e-05,512,"ninguna (few-shot 5%, 18 épocas)"
TTM,ttm,E2_ft_univariante_5pct,48,4.3298017330081375,5.306439562200214,19.4379635536288,0.2028170869564743,9.592825921976732e-05,512,"ninguna (few-shot 5%, 18 épocas)"
TTM,ttm,E3_ft_multi_5pct,6,3.612592475780104,4.614906248060873,17.878952023974612,0.3086176992878721,0.0002402443329898,512,"proceso+meteo pasadas, mix_channel (5%, 19 ep)"
TTM,ttm,E3_ft_multi_5pct,12,3.8634164079030353,4.981858081171636,17.996135635586846,0.3507145705631497,0.0002402443329898,512,"proceso+meteo pasadas, mix_channel (5%, 19 ep)"
TTM,ttm,E3_ft_multi_5pct,24,3.914259176165969,4.9059132852375065,17.844006925295318,0.2891066507733482,0.0002402443329898,512,"proceso+meteo pasadas, mix_channel (5%, 19 ep)"
TTM,ttm,E3_ft_multi_5pct,48,4.329977512756983,5.291828288701773,19.564264910432613,0.2072011268593537,0.0002402443329898,512,"proceso+meteo pasadas, mix_channel (5%, 19 ep)"
TTM,ttm,E4_ft_exog_futuras_5pct,6,3.6227117982743273,4.652339684042821,17.975649500617276,0.2973560273243163,0.0003899442408173,512,"meteo futuras (control), mix_channel (5%, 49 ep)"
TTM,ttm,E4_ft_exog_futuras_5pct,12,3.762800106825652,4.949228484503354,17.637961360142953,0.3591919461904123,0.0003899442408173,512,"meteo futuras (control), mix_channel (5%, 49 ep)"
TTM,ttm,E4_ft_exog_futuras_5pct,24,3.809861280741514,4.898856717169498,17.5548528542418,0.2911502496806543,0.0003899442408173,512,"meteo futuras (control), mix_channel (5%, 49 ep)"
TTM,ttm,E4_ft_exog_futuras_5pct,48,4.285253035359912,5.325688764410602,19.567876593946465,0.1970230070335993,0.0003899442408173,512,"meteo futuras (control), mix_channel (5%, 49 ep)"
XGBoost,xgboost,E1_univariante,6,3.4284159558916847,4.457718124338983,16.980581279191615,0.3549138787068558,0.0070951631674284,48,ninguna (48 lags)
XGBoost,xgboost,E1_univariante,12,3.730164542728,4.9524996103807055,17.863267323072023,0.358344599364777,0.0070951631674284,48,ninguna (48 lags)
XGBoost,xgboost,E1_univariante,24,3.920950722252881,5.054068717795769,18.15510458125609,0.2455212693819923,0.0070951631674284,48,ninguna (48 lags)
XGBoost,xgboost,E1_univariante,48,4.388399758206473,5.487212504873175,20.33370980949665,0.147577123939539,0.0070951631674284,48,ninguna (48 lags)
XGBoost,xgboost,E2_meteo_naive,6,3.55366296548692,4.563618361583204,17.86966830586067,0.3238996984404243,0.0074502754141576,48,meteo futura por persistencia
XGBoost,xgboost,E2_meteo_naive,12,3.776715303615288,5.018239688789227,18.37482310714922,0.3411967155346753,0.0074502754141576,48,meteo futura por persistencia
XGBoost,xgboost,E2_meteo_naive,24,3.863869358477769,5.003808343804286,18.21840879148986,0.2604525395910936,0.0074502754141576,48,meteo futura por persistencia
XGBoost,xgboost,E2_meteo_naive,48,4.31161473872485,5.432131684848191,20.3393947489252,0.1646045298801861,0.0074502754141576,48,meteo futura por persistencia
XGBoost,xgboost,E3_meteo_real,6,3.491271573273593,4.509652988776078,17.55383503399413,0.3397951025299492,0.0082357115267465,48,meteo futura real (oráculo)
XGBoost,xgboost,E3_meteo_real,12,3.7604061539967857,4.985870008300156,18.264314077624363,0.3496684007795251,0.0082357115267465,48,meteo futura real (oráculo)
XGBoost,xgboost,E3_meteo_real,24,3.927437678001545,5.020797872647786,18.376530627994946,0.2554220138799838,0.0082357115267465,48,meteo futura real (oráculo)
XGBoost,xgboost,E3_meteo_real,48,4.372207479653535,5.439793217359356,20.45580640025081,0.1622463679186532,0.0082357115267465,48,meteo futura real (oráculo)
