modelo,config,bloque_mes,H,n_ventanas,MAE,RMSE,R2
xgb,xgb_E3,2024-07,24,28,3.950230484860284,4.877177313846181,-0.19070047378746846
xgb,xgb_E3,2024-07,48,28,4.303770016403425,5.311986984630368,-0.4417488838575041
c2,c2_zs_U_C512,2024-07,6,28,3.51251995858692,4.582376526429939,-0.18180891169957114
c2,c2_zs_U_C512,2024-07,12,28,3.6170151322228565,4.6976413990287575,-0.1483069759990432
c2,c2_zs_U_C512,2024-07,24,28,3.6454240879785442,4.707591784780439,-0.10933580103864782
c2,c2_zs_U_C512,2024-07,48,28,3.9579649307160145,5.177599833307468,-0.36972247711646933
c2,c2_zs_F_C256,2024-07,6,28,3.4924256869724823,4.57965791499781,-0.1804070512726712
c2,c2_zs_F_C256,2024-07,12,28,3.476700804574149,4.531544722300606,-0.06854009181422138
c2,c2_zs_F_C256,2024-07,24,28,3.620129832562946,4.6239117260626,-0.07024819823678063
c2,c2_zs_F_C256,2024-07,48,28,3.673409044982895,4.736112664801329,-0.1460924970761448
ttm,ttm_zs_U,2024-07,6,28,3.3734371242069057,4.227729888815193,-0.0059587717684266295
ttm,ttm_zs_U,2024-07,12,28,3.373611470517658,4.2899746797615155,0.04234795915654577
ttm,ttm_zs_U,2024-07,24,28,3.379836411782673,4.285990304254492,0.08046597272777689
ttm,ttm_zs_U,2024-07,48,28,3.563359144977161,4.59387826769559,-0.07828753502017549
ttm,ttm_ft5_F,2024-07,6,28,3.814542751766387,4.679637904832408,-0.2325093356506911
ttm,ttm_ft5_F,2024-07,12,28,3.8815582117580227,4.72174051144714,-0.1601189296486325
ttm,ttm_ft5_F,2024-07,24,28,3.959063580641671,4.866423525821438,-0.18545546292303827
ttm,ttm_ft5_F,2024-07,48,28,4.0556138646526945,5.097954146838953,-0.3279064157701803
xgb,xgb_E1,2024-08,6,31,5.5783053627834525,7.58376305469555,0.7415306266840325
xgb,xgb_E1,2024-08,12,31,6.580852685846308,8.777413227186601,0.6783585304702877
xgb,xgb_E1,2024-08,24,31,8.303418530238572,11.48606172354755,0.47827111986481885
xgb,xgb_E1,2024-08,48,31,9.628843654842788,13.287795556743443,0.30257939866701766
xgb,xgb_E3,2024-08,6,31,6.225753570782242,8.40614617144888,0.6824343985100605
xgb,xgb_E3,2024-08,12,31,7.252320968822766,9.637852758417505,0.6122073955985909
xgb,xgb_E3,2024-08,24,31,8.67540188694513,11.748820902930282,0.4541275788703293
xgb,xgb_E3,2024-08,48,31,9.905488758356341,13.261514591466987,0.30533542555530724
c2,c2_zs_U_C512,2024-08,6,31,5.739398087942474,8.335218532631972,0.6877707685666593
c2,c2_zs_U_C512,2024-08,12,31,5.658189450335759,8.359729269990012,0.7082415962563744
c2,c2_zs_U_C512,2024-08,24,31,7.104411527879776,11.401535526135588,0.48592169563183907
c2,c2_zs_U_C512,2024-08,48,31,8.998397217514695,14.164564130291733,0.20750719681352592
c2,c2_zs_F_C256,2024-08,6,31,5.508403778076173,8.020528341597057,0.7109017023568773
c2,c2_zs_F_C256,2024-08,12,31,5.9359141275959635,8.715954689004448,0.682846962000524
c2,c2_zs_F_C256,2024-08,24,31,7.161831136313818,11.327651669171598,0.49256273493406677
c2,c2_zs_F_C256,2024-08,48,31,8.776856877778165,13.31637755556403,0.29957587361281
ttm,ttm_zs_U,2024-08,6,31,5.336349817501602,7.6498370693773445,0.7370071451100328
ttm,ttm_zs_U,2024-08,12,31,5.783033084459202,8.238324230302954,0.7166542463073536
ttm,ttm_zs_U,2024-08,24,31,7.473580820842456,11.147824689420773,0.5085460309034563
ttm,ttm_zs_U,2024-08,48,31,9.11872991295271,13.309922200134672,0.3002547955992053
ttm,ttm_ft5_F,2024-08,6,31,6.608920879569105,8.827773043156908,0.6497792311637782
ttm,ttm_ft5_F,2024-08,12,31,6.447449439879387,8.739156846966083,0.6811561708909787
ttm,ttm_ft5_F,2024-08,24,31,7.816050636537613,11.640783828928114,0.464120633975436
ttm,ttm_ft5_F,2024-08,48,31,9.450131259938722,13.984958576440114,0.227477271745956
xgb,xgb_E1,2024-09,6,9,5.421701499709377,7.7824257105720225,0.6194668529284171
xgb,xgb_E1,2024-09,12,9,6.463791564173168,9.077479244293071,0.47953362314192316
xgb,xgb_E1,2024-09,24,9,8.230998898104385,11.17941595137399,0.1694547150801854
