modelo,config,H,n_ventanas,MAE,RMSE,MAPE,R2
chronos2,c2_zs_U_C128,48,36,4.357139597777967,5.411834105846385,20.210390231396094,0.1708359052919124
chronos2,c2_zs_F_C128,6,36,3.615245119125124,4.60923246992835,17.750646555588094,0.3103166886773462
chronos2,c2_zs_F_C128,12,36,3.7905183613741844,4.872852229162105,17.939525242236922,0.3788171788478524
chronos2,c2_zs_F_C128,24,36,3.856516843769285,4.9211654193165115,17.626815880939162,0.28467954636089954
chronos2,c2_zs_F_C128,48,36,4.135371734698613,5.223496419300781,18.70931312236748,0.22754330846654303
chronos2,c2_zs_U_C256,6,36,3.6305802657112243,4.673500407422282,17.753347907826775,0.29094967283331796
chronos2,c2_zs_U_C256,12,36,3.8827210141994337,5.025897526561313,18.180382296946494,0.3391845127173939
chronos2,c2_zs_U_C256,24,36,3.9735467730628122,5.02977194531127,18.13405881354799,0.2527579478631854
chronos2,c2_zs_U_C256,48,36,4.409439565340677,5.449054395276762,19.95922783772405,0.15939141017548475
chronos2,c2_zs_F_C256,6,36,3.470786172120029,4.49331173506266,16.940175249008163,0.3445710925796519
chronos2,c2_zs_F_C256,12,36,3.6881299165443133,4.795640867330411,17.267095206431655,0.3983467612894671
chronos2,c2_zs_F_C256,24,36,3.7794295197504537,4.782203162103874,17.23273003095882,0.3245071433897462
chronos2,c2_zs_F_C256,48,36,4.018221111937805,5.067582751348787,18.25099414313046,0.27296848721956257
chronos2,c2_zs_U_C512,6,36,3.6314222479875755,4.718557676583748,17.431430126109504,0.2772118431413412
chronos2,c2_zs_U_C512,12,36,4.008669548829396,5.162386078677558,18.412616216497298,0.3028055588354631
chronos2,c2_zs_U_C512,24,36,4.119436272029524,5.1150596568443065,18.56905417548525,0.22720176305961848
chronos2,c2_zs_U_C512,48,36,4.534515869727841,5.493774974145026,20.247505902502454,0.1455369827872096
chronos2,c2_zs_F_C512,6,36,3.6404714256871946,4.733542539749351,17.57206962241112,0.272613794183442
chronos2,c2_zs_F_C512,12,36,3.9511641105899105,5.121020813206079,18.326342097955617,0.3139337810665921
chronos2,c2_zs_F_C512,24,36,3.9098033324877415,4.950105934313374,17.847889376826163,0.27624145813835355
chronos2,c2_zs_F_C512,48,36,4.0951351619870575,5.142653429537382,18.71468657433009,0.25126859061582973
ttm,ttm_ft5_F,6,36,3.760278545409914,4.705481886598578,18.087439384123773,0.2812121888933158
ttm,ttm_ft5_F,12,36,3.9682330401738484,5.0786183975648695,18.389226687310277,0.3252480985889872
ttm,ttm_ft5_F,24,36,4.005416609976026,4.981810920090013,18.114652944713093,0.26694055002231865
ttm,ttm_ft5_F,48,36,4.43039737785304,5.3827726750457385,19.835050014424752,0.17971718107687606
xgboost,xgb_rec_E1_sesgo,6,36,4.348647635098697,5.597333937122385,21.45794010538193,-0.01707956208746597
xgboost,xgb_rec_E1_sesgo,12,36,4.615184302845118,5.93659099985297,22.077599959006474,0.07800787309892254
xgboost,xgb_rec_E1_sesgo,24,36,4.738672457300586,6.12767803704551,21.789512508706025,-0.10906396017089715
xgboost,xgb_rec_E1_sesgo,48,36,5.13798913480323,6.532927796925827,23.56648124224382,-0.2082790728099586
xgboost,xgb_rec_E3_sesgo,6,36,4.251284991544811,5.421642981177563,20.92202436883816,0.04576723816881312
xgboost,xgb_rec_E3_sesgo,12,36,4.485596200595666,5.7644848032335325,21.376735818121865,0.1306914500766384
xgboost,xgb_rec_E3_sesgo,24,36,4.5982574568854435,5.96234433382644,21.08811141863526,-0.05002302688417104
xgboost,xgb_rec_E3_sesgo,48,36,5.002661073189459,6.3770008784504295,22.91924154809242,-0.15128935899628448
chronos2,c2_zs_U_C256_sesgo,6,36,4.321627919612949,5.565950722308212,21.360391349467182,-0.005706381876293243
chronos2,c2_zs_U_C256_sesgo,12,36,4.452119195608445,5.751468105357897,21.2273092722773,0.1346129630753079
chronos2,c2_zs_U_C256_sesgo,24,36,4.465600828351798,5.830527678077425,20.61411798770375,-0.004108026691993283
chronos2,c2_zs_U_C256_sesgo,48,36,4.700460756318069,6.018036500940242,21.489691520259065,-0.025324115501014655
chronos2,c2_zs_U_C512_sesgo,6,36,4.514668005540888,5.728292271603941,22.097037860443276,-0.0652286272107454
chronos2,c2_zs_U_C512_sesgo,12,36,4.601914594261735,5.8783567852940255,21.738591729926178,0.09600747843550772
chronos2,c2_zs_U_C512_sesgo,24,36,4.470545519671322,5.817945332134954,20.569550254480347,0.0002210505566391241
chronos2,c2_zs_U_C512_sesgo,48,36,4.703949567815403,5.982407208342252,21.34745535657051,-0.01321935946659103
chronos2,c2_zs_F_C256_sesgo,6,36,4.2131685133312535,5.525830667987908,20.913584822822294,0.008739874093235844
chronos2,c2_zs_F_C256_sesgo,12,36,4.516211018297407,5.778051190149328,21.502453533947033,0.12659489884603292
chronos2,c2_zs_F_C256_sesgo,24,36,4.468696528956478,5.788102760973458,20.576785881623536,0.01045127872685181
chronos2,c2_zs_F_C256_sesgo,48,36,4.60572883894966,5.998335509035808,21.054841346622872,-0.018621983231592365
chronos2,c2_zs_F_C512_sesgo,6,36,4.498234663375472,5.810811745365118,22.348197065659964,-0.09614019482619751
